"match_id","inning","batting_team","bowling_team","over","ball","batsman","non_striker","bowler","is_super_over","wide_runs","bye_runs","legbye_runs","noball_runs","penalty_runs","batsman_runs","extra_runs","total_runs","player_dismissed","dismissal_kind","fielder"
466,2,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,4,"KL Rahul","S Dhawan","AN Ahmed",0,5,0,0,0,0,0,5,5,"","",""
468,1,"Chennai Super Kings","Kolkata Knight Riders",1,5,"BB McCullum","SK Raina","PJ Cummins",0,5,0,0,0,0,0,5,5,"","",""
475,1,"Mumbai Indians","Royal Challengers Bangalore",2,2,"PA Patel","LMP Simmons","VR Aaron",0,5,0,0,0,0,0,5,5,"","",""
476,1,"Delhi Daredevils","Kolkata Knight Riders",7,2,"SS Iyer","MK Tiwary","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
483,1,"Chennai Super Kings","Kings XI Punjab",7,3,"BB McCullum","SK Raina","Anureet Singh",0,5,0,0,0,0,0,5,5,"","",""
486,1,"Kolkata Knight Riders","Delhi Daredevils",17,3,"AD Russell","YK Pathan","Imran Tahir",0,5,0,0,0,0,0,5,5,"","",""
489,1,"Kings XI Punjab","Delhi Daredevils",16,6,"AR Patel","DA Miller","Imran Tahir",0,5,0,0,0,0,0,5,5,"","",""
499,1,"Sunrisers Hyderabad","Rajasthan Royals",4,6,"DA Warner","S Dhawan","CH Morris",0,5,0,0,0,0,0,5,5,"","",""
500,1,"Chennai Super Kings","Mumbai Indians",2,3,"DR Smith","BB McCullum","M de Lange",0,5,0,0,0,0,0,5,5,"","",""
504,1,"Chennai Super Kings","Rajasthan Royals",15,3,"BB McCullum","F du Plessis","Ankit Sharma",0,5,0,0,0,0,0,5,5,"","",""
511,2,"Kolkata Knight Riders","Rajasthan Royals",6,3,"YK Pathan","MK Pandey","DS Kulkarni",0,5,0,0,0,0,0,5,5,"","",""
518,1,"Mumbai Indians","Rising Pune Supergiants",6,3,"KA Pollard","AT Rayudu","I Sharma",0,5,0,0,0,0,0,5,5,"","",""
519,1,"Delhi Daredevils","Kolkata Knight Riders",11,2,"CR Brathwaite","SV Samson","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
519,1,"Delhi Daredevils","Kolkata Knight Riders",12,6,"CH Morris","SV Samson","GB Hogg",0,5,0,0,0,0,0,5,5,"","",""
519,2,"Kolkata Knight Riders","Delhi Daredevils",10,1,"RV Uthappa","G Gambhir","A Mishra",0,5,0,0,0,0,0,5,5,"","",""
521,2,"Sunrisers Hyderabad","Royal Challengers Bangalore",1,1,"DA Warner","S Dhawan","AF Milne",0,5,0,0,0,0,0,5,5,"","",""
522,2,"Mumbai Indians","Kolkata Knight Riders",10,4,"HH Pandya","RG Sharma","Kuldeep Yadav",0,5,0,0,0,0,0,5,5,"","",""
528,2,"Delhi Daredevils","Royal Challengers Bangalore",1,2,"Q de Kock","SS Iyer","S Aravind",0,5,0,0,0,0,0,5,5,"","",""
531,1,"Royal Challengers Bangalore","Mumbai Indians",16,1,"TM Head","SN Khan","KH Pandya",0,5,0,0,0,0,0,5,5,"","",""
532,2,"Sunrisers Hyderabad","Gujarat Lions",2,4,"DA Warner","S Dhawan","P Kumar",0,5,0,0,0,0,0,5,5,"","",""
533,1,"Royal Challengers Bangalore","Rising Pune Supergiants",16,3,"V Kohli","AB de Villiers","R Ashwin",0,5,0,0,0,0,0,5,5,"","",""
536,2,"Gujarat Lions","Royal Challengers Bangalore",6,3,"BB McCullum","SK Raina","KW Richardson",0,5,0,0,0,0,0,5,5,"","",""
